Sample alias," ""First Fastq File"""," ""First Checksum"""," ""First Unencrypted checksum"""," ""Second Fastq File"""," ""Second Checksum"""," ""Second Unencrypted checksum"""
run5_S22,run5_22_S22_L001_R1_001.fastq.gz,,,run5_22_S22_L001_R2_001.fastq.gz,,
run8_S86,run8_86_S86_L001_R1_001.fastq.gz,,,run8_86_S86_L001_R2_001.fastq.gz,,
run8_S25,run8_25_S25_L001_R1_001.fastq.gz,,,run8_25_S25_L001_R2_001.fastq.gz,,
run6_S86,run6_86_S86_L001_R1_001.fastq.gz,,,run6_86_S86_L001_R2_001.fastq.gz,,
run9_S85,run9_85_S85_L001_R1_001.fastq.gz,,,run9_85_S85_L001_R2_001.fastq.gz,,
run5_S15,run5_15_S15_L001_R1_001.fastq.gz,,,run5_15_S15_L001_R2_001.fastq.gz,,
run7_S75,run7_75_S75_L001_R1_001.fastq.gz,,,run7_75_S75_L001_R2_001.fastq.gz,,
run9_S59,run9_59_S59_L001_R1_001.fastq.gz,,,run9_59_S59_L001_R2_001.fastq.gz,,
run5_S2987,run5_2987_S2987_L001_R1_001.fastq.gz,,,run5_2987_S2987_L001_R2_001.fastq.gz,,
run6_S69,run6_69_S69_L001_R1_001.fastq.gz,,,run6_69_S69_L001_R2_001.fastq.gz,,
run1_S58,run1_58_S58_L001_R1_001.fastq.gz,,,run1_58_S58_L001_R2_001.fastq.gz,,
run4_S44,run4_44_S44_L001_R1_001.fastq.gz,,,run4_44_S44_L001_R2_001.fastq.gz,,
run6_S8,run6_8_S8_L001_R1_001.fastq.gz,,,run6_8_S8_L001_R2_001.fastq.gz,,
run4_S71,run4_71_S71_L001_R1_001.fastq.gz,,,run4_71_S71_L001_R2_001.fastq.gz,,
run6_S2990,run6_2990_S2990_L001_R1_001.fastq.gz,,,run6_2990_S2990_L001_R2_001.fastq.gz,,
run6_S55,run6_55_S55_L001_R1_001.fastq.gz,,,run6_55_S55_L001_R2_001.fastq.gz,,
run6_S4,run6_4_S4_L001_R1_001.fastq.gz,,,run6_4_S4_L001_R2_001.fastq.gz,,
run3_S46,run3_46_S46_L001_R1_001.fastq.gz,,,run3_46_S46_L001_R2_001.fastq.gz,,
run9_S34,run9_34_S34_L001_R1_001.fastq.gz,,,run9_34_S34_L001_R2_001.fastq.gz,,
run9_S12,run9_12_S12_L001_R1_001.fastq.gz,,,run9_12_S12_L001_R2_001.fastq.gz,,
run9_S73,run9_73_S73_L001_R1_001.fastq.gz,,,run9_73_S73_L001_R2_001.fastq.gz,,
run5_S62,run5_62_S62_L001_R1_001.fastq.gz,,,run5_62_S62_L001_R2_001.fastq.gz,,
run9_S14,run9_14_S14_L001_R1_001.fastq.gz,,,run9_14_S14_L001_R2_001.fastq.gz,,
run2_S8,run2_8_S8_L001_R1_001.fastq.gz,,,run2_8_S8_L001_R2_001.fastq.gz,,
run1_S1807,run1_1807_S1807_L001_R1_001.fastq.gz,,,run1_1807_S1807_L001_R2_001.fastq.gz,,
run5_S1484,run5_1484_S1484_L001_R1_001.fastq.gz,,,run5_1484_S1484_L001_R2_001.fastq.gz,,
run4_S45,run4_45_S45_L001_R1_001.fastq.gz,,,run4_45_S45_L001_R2_001.fastq.gz,,
run6_S20,run6_20_S20_L001_R1_001.fastq.gz,,,run6_20_S20_L001_R2_001.fastq.gz,,
run8_S65,run8_65_S65_L001_R1_001.fastq.gz,,,run8_65_S65_L001_R2_001.fastq.gz,,
run1_S45,run1_45_S45_L001_R1_001.fastq.gz,,,run1_45_S45_L001_R2_001.fastq.gz,,
run6_S64,run6_64_S64_L001_R1_001.fastq.gz,,,run6_64_S64_L001_R2_001.fastq.gz,,
run6_S73,run6_73_S73_L001_R1_001.fastq.gz,,,run6_73_S73_L001_R2_001.fastq.gz,,
run2_S4,run2_4_S4_L001_R1_001.fastq.gz,,,run2_4_S4_L001_R2_001.fastq.gz,,
run5_S14,run5_14_S14_L001_R1_001.fastq.gz,,,run5_14_S14_L001_R2_001.fastq.gz,,
run8_S2,run8_2_S2_L001_R1_001.fastq.gz,,,run8_2_S2_L001_R2_001.fastq.gz,,
run9_S51,run9_51_S51_L001_R1_001.fastq.gz,,,run9_51_S51_L001_R2_001.fastq.gz,,
